Pays,Notes_musees,NbVotes_musees_clean,Nb_prixNobel,Annee_souverainete,Nb_univTop500,Rang,Political regime,immigrationByCountry_immigrants,immigrationByCountry_emigrants,Primary,Lower secondary,Break 1,Break 2,Break 3,Break 4,Break 5,End of the school year break
Cyprus,"['4,6', '4,6', '4,3', '4,3', '4,7', '4,4', '4,8', '4,6', '4,1', '4,7', '4,3', '5,0', '3,8', '4,9', '4,8', '4,3', '4,5', '4,7', '4,9', '4,6', '4,7', '4,8', '3,9', '4,5', '4,7', '4,2']","[1000.0, 459.0, 52.0, 601.0, 352.0, 795.0, 168.0, 91.0, 361.0, 115.0, 31.0, 13.0, 141.0, 522.0, 22.0, 149.0, 71.0, 764.0, 7.0, 52.0, 79.0, 45.0, 60.0, 6.0, 3.0, 149.0]",1.0,1960.0,1.0,368.0,3.0,190366.0,173210.0,,,,,,,,
Czech Republic,"['4,5', '4,6', '4,1', '4,6', '4,1', '4,3', '4,2', '4,6', '4,2', '4,1', '4,6', '4,2', '4,8', '4,3', '4,8', '4,7', '4,9', '4,6', '4,5', '4,8', '4,2', '4,8', '4,3', '4,4', '4,5', '4,6']","[33000.0, 1000.0, 6000.0, 16000.0, 6000.0, 1000.0, 5000.0, 5000.0, 11000.0, 5000.0, 1000.0, 6000.0, 4000.0, 1000.0, 1000.0, 322.0, 842.0, 10000.0, 2000.0, 664.0, 3000.0, 2000.0, 319.0, 509.0, 426.0, 1000.0]",6.0,1918.0,0.0,,,540921.0,1026108.0,3434.0,3550.0,0.6,0.2,1.4,1.0,0.6,9.0
Denmark,"['4,5', '4,3', '4,6', '4,5', '4,7', '4,6', '4,2', '4,5', '4,4', '4,4', '4,6', '4,6', '4,1', '4,5', '4,3', '4,5', '4,5', '4,5', '4,4', '4,5', '4,3', '4,4', '4,7', '4,7', '4,4', '4,5', '4,5']","[11000.0, 5000.0, 11000.0, 4000.0, 9000.0, 13000.0, 1000.0, 12000.0, 2000.0, 2000.0, 2000.0, 17000.0, 5000.0, 2000.0, 4000.0, 2000.0, 9000.0, 1000.0, 1000.0, 1000.0, 2000.0, 2000.0, 2000.0, 11000.0, 1000.0, 90.0, 570.0]",14.0,958.0,5.0,207.0,3.0,717574.0,257025.0,7000.0,3600.0,1.0,1.6,1.0,1.2,,6.0
Djibouti,"['4,0', '5,0', '4,2', '5,0', '5,0', '5,0', '5,0']","[3.0, 8.0, 109.0, 4.0, 4.0, 1.0, 2.0]",0.0,1977.0,0.0,,1.0,119738.0,18365.0,,,,,,,,
Dominica,['4.3'],[65.0],0.0,,0.0,,,8284.0,78191.0,,,,,,,,
Dominican Republic,"['4.6', '4.1', '4.8', '4.6', '4.3', '4.4', '4.5', '4.6', '4.6', '4.3', '4.3', '4.4', '4.6', '4.5', '4.7', '4.6', '4.7', '4.2', '4.6', '4.7', '4.6', '4.7', '4.6', '4.4', '4.7', '3.8', '4.5']","[1000.0, 613.0, 4000.0, 912.0, 5000.0, 628.0, 1000.0, 164.0, 453.0, 341.0, 1000.0, 146.0, 227.0, 1000.0, 2000.0, 144.0, 1000.0, 48.0, 960.0, 469.0, 1000.0, 152.0, 682.0, 35.0, 2000.0, 70.0, 135.0]",0.0,1865.0,0.0,,2.0,603794.0,1608567.0,,,,,,,,
Ecuador,"['4,6', '4,7', '4,7', '4,6', '4,6', '4,8', '4,7', '4,4', '4,6', '4,6', '4,7', '4,5', '4,5', '4,7', '4,7', '4,4', '4,5', '4,5', '4,7', '4,7', '4,9', '4,4', '4,5', '4,6', '4,7', '4,7', '4,6']","[1000.0, 2000.0, 2000.0, 1000.0, 638.0, 885.0, 1000.0, 2000.0, 3000.0, 1000.0, 93.0, 685.0, 262.0, 3000.0, 1000.0, 336.0, 194.0, 154.0, 1000.0, 62.0, 294.0, 83.0, 74.0, 129.0, 1000.0, 535.0, 376.0]",0.0,,0.0,,2.0,784787.0,1127891.0,,,,,,,,
Egypt,"[4.5, 4.4, 4.7, 4.6, 4.6, 4.3, 4.6, 4.5, 4.5, 4.4, 4.5, 4.6, 4.6, 4.4, 4.3, 4.5, 4.3, 4.6, 4.4, 4.6, 4.4, 4.4, 4.6, 4.5, 4.5, 4.2, 4.1]","[51000.0, 3000.0, 21000.0, 1000.0, 3000.0, 793.0, 7000.0, 11000.0, 5000.0, 2000.0, 1000.0, 6000.0, 7000.0, 957.0, 378.0, 1000.0, 377.0, 537.0, 1000.0, 662.0, 8000.0, 1000.0, 169.0, 141.0, 90.0, 1000.0, 108.0]",4.0,1953.0,2.0,393.0,1.0,543937.0,3610461.0,,,,,,,,
El Salvador,"['4.7', '4.6', '4.7', '4.7', '4.6', '4.5', '4.4', '4.8', '4.6', '4.7', '4.4', '4.5', '4.6', '4.3', '4.5', '4.5', '4.5', '4.6', '4.6', '4.6', '4.7', '4.8', '4.4', '4.5', '2.9']","[2000.0, 1000.0, 132.0, 295.0, 2000.0, 3000.0, 109.0, 128.0, 113.0, 703.0, 1000.0, 227.0, 76.0, 125.0, 1000.0, 228.0, 15.0, 161.0, 1000.0, 3000.0, 376.0, 107.0, 63.0, 892.0, 123.0]",0.0,1821.0,0.0,,2.0,42767.0,1599058.0,,,,,,,,
Eritrea,['3.9'],[29.0],0.0,1993.0,0.0,,0.0,13934.0,802822.0,,,,,,,,
Estonia,"['4,7', '4,6', '4,7', '4,7', '4,9', '4,6', '4,5', '4,5', '4,8', '4,6', '4,6', '4,5', '4,6', '4,5', '4,7', '4,8', '4,7', '4,8', '4,7', '4,8', '4,7', '4,6', '4,6', '4,6', '4,7', '4,7', '4,8']","[5000.0, 4000.0, 5000.0, 1000.0, 95.0, 6000.0, 1000.0, 661.0, 1000.0, 126.0, 238.0, 1000.0, 3000.0, 751.0, 1000.0, 9000.0, 642.0, 503.0, 367.0, 272.0, 621.0, 635.0, 317.0, 1000.0, 5000.0, 267.0, 15000.0]",0.0,1991.0,1.0,358.0,3.0,199277.0,206631.0,3964.0,2468.0,1.0,2.4,1.0,1.0,,11.2
Eswatini,"['4.1', '3.2']","[65.0, 5.0]",0.0,1968.0,0.0,,0.0,32858.0,50039.0,,,,,,,,
Ethiopia,"['4.2', '4.3', '4.1', '4.1', '4.4', '4.3', '4.7', '4.4', '5.0', '4.4', '4.8']","[1000.0, 223.0, 144.0, 34.0, 356.0, 45.0, 154.0, 31.0, 6.0, 92.0, 5.0]",1.0,1941.0,0.0,,1.0,1085517.0,946129.0,,,,,,,,
